variable,Q1,Q3,IQR,lim_inf_1.5,lim_sup_1.5,n_out_1.5,pct_1.5,lim_inf_3.0,lim_sup_3.0,n_out_3.0,pct_3.0,n_winsorizados_k3
NEE_F_ANNOPTLM,-0.305580033484563,0.6374767159486009,0.9430567494331639,-1.7201651576343089,2.0520618400983466,97,8.85,-3.1347502817840547,3.4666469642480924,21,1.92,21
FCH4_F_ANNOPTLM,9.689883835335197,150.5438924047308,140.8540085693956,-201.5911290187582,361.8249052588242,15,1.37,-412.8721418728516,573.1059181129176,2,0.18,2
WTD,0.09037499999999996,0.3183229166666667,0.22794791666666672,-0.25154687500000017,0.6602447916666667,52,4.74,-0.5934687500000002,1.0021666666666669,0,0.0,0
TS_1,5.393755729166667,16.314748958333336,10.920993229166669,-10.987734114583336,32.69623880208334,0,0.0,-27.36922395833334,49.077728645833346,0,0.0,0
TS_2,5.875975520833334,15.700181250000002,9.824205729166668,-8.860333072916667,30.436489843750003,0,0.0,-23.59664166666667,45.172798437500006,0,0.0,0
TS_3,6.464568229166668,15.350094791666669,8.8855265625,-6.8637216145833335,28.67838463541667,0,0.0,-20.192011458333333,42.00667447916667,0,0.0,0
TS_4,6.93139114583333,14.836888541666667,7.905497395833337,-4.926854947916676,26.69513463541667,0,0.0,-16.78510104166668,38.553380729166676,0,0.0,0
TS_5,7.363829687499997,14.461100520833334,7.0972708333333365,-3.2820765625000075,25.107006770833337,0,0.0,-13.927982812500012,35.75291302083335,0,0.0,0
