mes,sumidero,fuente
1,0.021505376344086023,0.978494623655914
2,0.03529411764705882,0.9647058823529412
3,,1.0
4,0.32222222222222224,0.6777777777777778
5,0.7419354838709677,0.25806451612903225
6,0.7111111111111111,0.28888888888888886
7,0.6344086021505376,0.3655913978494624
8,0.5268817204301075,0.4731182795698925
9,0.5888888888888889,0.4111111111111111
10,0.23655913978494625,0.7634408602150538
11,0.022222222222222223,0.9777777777777777
12,0.010752688172043012,0.989247311827957
