model,algorithm_type,framework,train_time_s,nee_rmse,nee_mae,nee_r2,nee_nse,nee_kge,fch4_rmse,fch4_mae,fch4_r2,fch4_nse,fch4_kge,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_sumidero,recall_sumidero,f1_sumidero,precision_fuente,recall_fuente,f1_fuente,auc,tn,fp,fn,tp,reg_score_norm,cls_score,combined_score,winner
Random Forest,CLASSICAL,scikit-learn,2.128,1.2849936995560218,0.8709340905701872,0.20622725516405305,0.20622725516405305,,45.30148661211718,23.326231675268286,0.8308882531577904,0.8308882531577904,0.8456435388829081,0.821917808219178,0.778061224489796,0.8065931593159317,0.778061224489796,0.7890904888477985,0.7722772277227723,0.65,0.7058823529411765,0.8409090909090909,0.9061224489795918,0.8722986247544204,0.911343537414966,222,23,42,78,0.9611945512516744,0.8502170131313822,0.9057057821915283,False
Gradient Boosting (XGBoost),CLASSICAL,xgboost,1.163,1.3242007706044019,0.888046414364462,0.15704991502204468,0.15704991502204468,,43.544700651033544,22.434946572103318,0.8437501942159776,0.8437501942159776,0.853799051448903,0.8246575342465754,0.8056122448979592,0.8006625619060367,0.8056122448979592,0.8030088376172165,0.7258064516129032,0.75,0.7377049180327869,0.8755186721991701,0.8612244897959184,0.8683127572016461,0.9022789115646258,211,34,30,90,0.8686369092201979,0.8526438745909212,0.8606403919055595,False
SVR / SVM,CLASSICAL,scikit-learn,0.139,1.2745889513827238,0.90188653960299,0.21902975908348632,0.21902975908348632,,58.3251779532955,41.67874480633029,0.7196755281526954,0.7196755281526954,0.6130722530762036,0.8054794520547945,0.7275510204081632,0.820494394941075,0.7275510204081632,0.7482734169345987,0.8450704225352113,0.5,0.6282722513089005,0.7959183673469388,0.9551020408163265,0.8682745825602969,0.9140816326530612,234,11,60,60,0.7103748371557016,0.83117752479383,0.7707761809747657,False
Stacking Ensemble,HYBRID,scikit-learn,17.628,1.2774470807824525,0.8730730579940968,0.21552334763701386,0.21552334763701386,,44.50022002184593,24.026352129652672,0.8368176496557235,0.8368176496557235,0.8627678625131703,0.8438356164383561,0.8347789115646258,0.8210837084882887,0.8347789115646258,0.8269552271082683,0.7404580152671756,0.8083333333333333,0.7729083665338645,0.9017094017094017,0.8612244897959184,0.8810020876826722,0.9229591836734693,211,34,23,97,1.0,0.8749572053908687,0.9374786026954344,True
CNN-LSTM,HYBRID,keras-tensorflow,13.022,1.2907718617398265,0.8688200763235353,0.19907257412982315,0.19907257412982315,,80.88250387516372,46.36879341504345,0.460914012584142,0.460914012584142,0.5188845327481503,0.8054794520547945,0.8423469387755103,0.8023067219318796,0.8423469387755103,0.7989043136828873,0.6368715083798883,0.95,0.7625418060200669,0.967741935483871,0.7346938775510204,0.8352668213457076,0.8550340136054422,180,65,6,114,0.0,0.8269691636441647,0.41348458182208236,False
