model,n_folds,rmse_nee_mean,rmse_nee_std,rmse_fch4_mean,rmse_fch4_std,mae_nee_mean,mae_nee_std,mae_fch4_mean,mae_fch4_std,r2_nee_mean,r2_nee_std,r2_fch4_mean,r2_fch4_std,nse_nee_mean,nse_nee_std,nse_fch4_mean,nse_fch4_std,kge_nee_mean,kge_nee_std,kge_fch4_mean,kge_fch4_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,train_time_s_mean,train_time_s_std
Random Forest,5.0,0.9698338288391645,0.3060945396796142,42.1088589781785,20.350886079281988,0.6777358359702476,0.21703116473131912,27.48002192417899,17.520557685747352,0.20184820392538808,0.262329843220068,0.732784508682877,0.3211576005656141,0.20184820392538808,0.262329843220068,0.732784508682877,0.3211576005656141,-0.27145637597553846,0.45700158923169676,0.6587990425872599,0.3871988397749107,0.7389830508474576,0.1374287252990787,0.7153180376962729,0.18598240642189484,0.6685659044031753,0.18881185722367377,0.631908688174969,0.22585247765963348,0.8385449593885841,0.15939477510784492,2.2616251799976452,0.299739127815268
Gradient Boosting (XGBoost),5.0,1.0171660386927182,0.3607990164566945,43.3044070492347,24.324062008966937,0.7213151848471216,0.25333636755560535,29.0398114612584,21.469890246713447,0.1296891677574245,0.33060216278534355,0.6861350345445497,0.440752566458723,0.1296891677574245,0.33060216278534355,0.6861350345445497,0.440752566458723,-0.2712947342411102,0.445170064758664,0.6130654381023166,0.44932968775339227,0.7468926553672317,0.1165677889088095,0.7383652361114106,0.10763556634239488,0.7147359131321677,0.14704831374666832,0.6911382779899846,0.15805298400185044,0.833033462667682,0.10802685424389298,1.1104907600092702,0.07449536642810271
SVR / SVM,5.0,0.9315577930038046,0.26218162177076165,60.4411831853575,24.90079444220475,0.6685660250515514,0.1864880334183932,48.29631625700406,24.23816162242142,0.2634045959625443,0.17800030238045322,0.466303526582396,0.5478864248518107,0.2634045959625443,0.17800030238045322,0.466303526582396,0.5478864248518107,0.08450748427611943,0.1969183131319029,0.3949813646198762,0.46227856127171585,0.7638418079096045,0.05863198334065361,0.6928796415150352,0.19879543928067306,0.671589270532747,0.10184121447369306,0.6640024132704123,0.1415078488979842,0.7846269175269674,0.272463772094112,0.11315622003749012,0.06650870133079627
Stacking Ensemble,5.0,0.983291936594278,0.24188556259974506,43.70971052271213,18.244180742254912,0.6992300220916234,0.16987881761578605,31.70177168722453,17.517029309412397,0.16616067310877575,0.19016439446709102,0.7206927204862558,0.3103793423732834,0.16616067310877575,0.19016439446709102,0.7206927204862558,0.3103793423732834,-0.2793094474671777,0.3648962715631732,0.6158326735380162,0.32425948937815124,0.7412429378531075,0.18447863339232884,0.727724538347067,0.17163483012076514,0.7386345622964862,0.19606601926417686,0.7221504927066765,0.1919562144599281,0.8205759699760515,0.1971463170690213,18.138281900028232,2.1980686874787247
CNN-LSTM,5.0,0.9990735507312515,0.2503176385594528,62.854797023809,31.068351860851763,0.7336990552778108,0.18695240492521648,42.01873985491903,26.98510821125571,0.14281359977767957,0.15337803721314738,0.38505476515980624,0.7780374183001526,0.14281359977767957,0.15337803721314738,0.38505476515980624,0.7780374183001526,-0.481839446410677,0.13041514728237527,0.4819028453106954,0.6220016289226804,0.7717514124293785,0.09887812719279261,0.7177439457041023,0.20301152035563713,0.7618988243952967,0.1600473819488609,0.7047769468048413,0.1827929653247947,0.8316343964544373,0.08033745489509354,11.391439839999657,4.627240730809597
