model,fold,rmse_nee,mae_nee,r2_nee,nse_nee,kge_nee,rmse_fch4,mae_fch4,r2_fch4,nse_fch4,kge_fch4,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_sumidero,recall_sumidero,auc,tn,fp,fn,tp,train_time_s
Random Forest,2,0.6197253757549789,0.470022377256305,0.4325108174594433,0.4325108174594433,0.2539308614683071,27.820580282131647,16.457430324040388,0.9012186547219498,0.9012186547219498,0.812530967535077,0.8418079096045198,0.783633387888707,0.8007636237417564,0.783633387888707,0.7914141414141413,0.6888888888888889,0.6595744680851063,0.923240589198036,118,12,16,31,2.3032743000076152
Gradient Boosting (XGBoost),2,0.6295134263378468,0.48034109000280156,0.4144432078232144,0.4144432078232144,0.240657478580511,28.440162990151652,17.295852054096695,0.8967698092423851,0.8967698092423851,0.7751494013403564,0.8361581920903954,0.8205400981996727,0.7890348288075562,0.8205400981996727,0.801454376668085,0.7184466019417476,0.7872340425531915,0.90949263502455,111,19,10,37,1.1356636000564322
SVR / SVM,2,0.6562705364882793,0.5234830523509529,0.3636078084706994,0.3636078084706994,0.04627149289803534,65.74283309688121,57.99749172240705,0.44838076860043363,0.44838076860043363,0.31793642120171506,0.7570621468926554,0.698772504091653,0.691259842519685,0.698772504091653,0.6946929279152794,0.5567010309278351,0.574468085106383,0.8759410801963993,107,23,20,27,0.1104010000708513
Stacking Ensemble,2,0.6907101251095571,0.5425383182429878,0.2950624038567715,0.2950624038567715,0.08327150362832858,29.103802477719988,21.900240660803576,0.8918959321416999,0.8918959321416999,0.7695498814074444,0.8305084745762712,0.8370703764320786,0.7867585630743525,0.8370703764320786,0.8021609538002981,0.7272727272727273,0.851063829787234,0.8981996726677577,107,23,7,40,18.18426820001332
CNN-LSTM,2,0.7821497421307979,0.6381294649320597,0.09606159658686153,0.09606159658686153,-0.361669993856353,49.1019389223698,32.071729584602316,0.6922912466666475,0.6922912466666475,0.7550445673452493,0.6497175141242938,0.7615384615384615,0.7155963302752294,0.7615384615384615,0.6447163947163947,0.6025641025641025,1.0,0.7237315875613748,68,62,0,47,10.092296099988744
Random Forest,3,1.0484868402634648,0.7117563559545688,0.3117028757238589,0.3117028757238589,,27.933916210323495,16.258516465182872,0.8780737114388483,0.8780737114388483,0.8584819542906481,0.8983050847457628,0.9112142422398053,0.8712225274725275,0.9112142422398053,0.885593220338983,0.847457627118644,0.9433962264150944,0.9709373097991478,109,15,3,50,2.4365861999685876
Gradient Boosting (XGBoost),3,1.1058880555433577,0.7521551068063221,0.23427588965748236,0.23427588965748236,,26.20434578781316,16.051004893128567,0.8927047872663063,0.8927047872663063,0.8466523643546804,0.8870056497175142,0.8977480219111382,0.8590659340659341,0.8977480219111382,0.8728813559322034,0.8305084745762712,0.9245283018867925,0.9412659768715763,108,16,4,49,1.192737000004854
SVR / SVM,3,1.1385204653696437,0.7799471485487116,0.188419375031185,0.188419375031185,,31.743331275993405,26.44959814652854,0.8425514357361283,0.8425514357361283,0.7408525198095749,0.864406779661017,0.7735849056603774,0.9189189189189189,0.7735849056603774,0.8095408895265424,0.7073170731707317,0.5471698113207547,0.9831101643335362,124,0,24,29,0.15051280008628964
Stacking Ensemble,3,1.058349086867535,0.7340807163427748,0.2986934968879422,0.2986934968879422,,30.685856764250794,18.965846866704215,0.8528669598050104,0.8528669598050104,0.7703276389122579,0.8983050847457628,0.9220176506390749,0.8721819645732689,0.9220176506390749,0.8874364047484454,0.8524590163934426,0.9811320754716981,0.9756542909312234,107,17,1,52,19.816412800049875
CNN-LSTM,3,1.0262514318338756,0.7504680449784981,0.3405869505084206,0.3405869505084206,,34.38459944975218,21.225814197023038,0.8152597018008299,0.8152597018008299,0.8968737854355494,0.8813559322033898,0.9099208764455264,0.8563492063492064,0.9099208764455264,0.8701484716157205,0.832,0.9811320754716981,0.9036822884966524,104,20,1,52,19.42510089999996
Random Forest,4,1.4060190946768083,0.9874986297195525,0.24952441848058793,0.24952441848058793,,59.443774503729294,31.69709118473864,0.8065382365180627,0.8065382365180627,0.7378520911235816,0.7344632768361582,0.6813432835820896,0.7357142857142858,0.6813432835820896,0.6884853023778319,0.5688073394495413,0.4626865671641791,0.8342605156037992,99,11,36,31,2.6450197000522166
Gradient Boosting (XGBoost),4,1.531164463468626,1.066843558464552,0.10998400695034771,0.10998400695034771,,58.708402785321205,31.206875485163057,0.8112952133761496,0.8112952133761496,0.7345714700909988,0.7401129943502824,0.7150610583446404,0.7239966082532504,0.7150610583446404,0.7185425884955752,0.640625,0.6119402985074627,0.8241519674355495,90,20,26,41,1.1563217999064364
SVR / SVM,4,1.2434445828210317,0.9127972940083459,0.4130420384325967,0.4130420384325967,,74.83315528541057,49.05728941191741,0.6934011646688597,0.6934011646688597,0.5951309269631562,0.7401129943502824,0.6917232021709634,0.7378787878787878,0.6917232021709634,0.6996015348288076,0.5892857142857143,0.4925373134328358,0.8689280868385346,98,12,34,33,0.20296140003483742
Stacking Ensemble,4,1.34175525692803,0.9570138953587847,0.31655945517191264,0.31655945517191264,,57.87411436011596,32.445817675111506,0.8166203656669255,0.8166203656669255,0.758184250295697,0.768361581920904,0.7494572591587517,0.7542173672566372,0.7494572591587517,0.7515831992606032,0.6870229007633588,0.6716417910447762,0.85359565807327,91,19,22,45,20.56204129999969
CNN-LSTM,4,1.4116884546624404,1.0360179271675267,0.24346006841266288,0.24346006841266288,,84.36941886416426,42.59836564764465,0.6102801708206175,0.6102801708206175,0.5111846583662942,0.7175141242937854,0.7668928086838535,0.7719856194690266,0.7668928086838535,0.7174329501915708,0.7222222222222222,0.9701492537313433,0.8755766621438263,62,48,2,65,10.78823010000633
