model,algorithm_type,nee_r2,fch4_r2,f1_macro,auc,nee_rmse,fch4_rmse,recall_sumidero,accuracy,train_time_s,reg_score_norm,cls_score,combined_score
Random Forest,CLASSICAL,0.206227255164053,0.8308882531577904,0.7890904888477985,0.911343537414966,1.2849936995560218,45.30148661211718,0.65,0.821917808219178,2.128,0.9033631018617796,0.8502170131313822,0.8767900574965809
Gradient Boosting (XGBoost),CLASSICAL,0.1570499150220446,0.8437501942159776,0.8030088376172165,0.9022789115646258,1.324200770604402,43.54470065103354,0.75,0.8246575342465754,1.163,0.8163743039148028,0.8526438745909212,0.8345090892528619
SVR / SVM,CLASSICAL,0.2190297590834863,0.7196755281526954,0.7482734169345987,0.9140816326530612,1.2745889513827238,58.3251779532955,0.5,0.8054794520547945,0.139,0.6676342635753297,0.83117752479383,0.7494058941845798
Stacking Ensemble,HYBRID,0.2155233476370138,0.8368176496557235,0.8269552271082683,0.9229591836734692,1.2774470807824525,44.50022002184593,0.8083333333333333,0.8438356164383561,17.628,0.9398337731788156,0.8749572053908687,0.9073954892848421
CNN-LSTM,HYBRID,0.1990725741298231,0.460914012584142,0.7989043136828873,0.8550340136054422,1.2907718617398265,80.88250387516372,0.95,0.8054794520547945,13.022,0.0,0.8269691636441647,0.41348458182208236
Random Forest (tuned),CLASSICAL,0.23025761533143985,0.8310293690039339,0.7890904888477985,0.911343537414966,1.2653935236142775,45.28258168119052,0.65,0.821917808219178,88.32,0.961262717343575,0.8502170131313822,0.9057398652374786
Stacking Ensemble (tuned),HYBRID,0.23553849449759356,0.8419202258807166,0.8174835435981933,0.9207823129251701,1.261045386378857,43.79895205358957,0.825,0.8328767123287671,150.9,1.0,0.8691329282616818,0.9345664641308409
Gradient Boosting (XGBoost) (tuned),CLASSICAL,0.1099221733847553,0.8479152735437335,0.8175,0.9126870748299319,1.360714140422185,42.960404979527546,0.7916666666666666,0.8356164383561644,22.92,0.7134628546345109,0.865093537414966,0.7892781960247384
